pl_name,hostname,discoverymethod,disc_facility,pl_rade,pl_radeerr1,pl_radeerr2,pl_orbper,pl_insol,st_mass,st_teff,st_rad,st_met,sy_dist
WASP-47 b,WASP-47,Transit,SuperWASP,12.86,0.1,-0.1,4.159151,409.0,1.058,5565.0,1.156,0.43,264.78
WASP-63 b,WASP-63,Transit,SuperWASP,15.80469,1.56926,-1.56926,4.37808,1103.2708,1.28,5550.0,1.86,0.08,290.684
WASP-52 b,WASP-52,Transit,SuperWASP,14.24,0.34,-0.34,1.7497798,605.7625,0.87,5000.0,0.79,0.03,174.818
WASP-77 A b,WASP-77 A,Transit,SuperWASP,13.56,0.22,-0.22,1.360029395,1440.0,0.903,5617.0,0.91,-0.1,105.166
WASP-80 b,WASP-80,Transit,SuperWASP,11.197791,0.33627,-0.347479,3.06785234,72.442,0.577,4143.0,0.586,-0.13,49.7876
WASP-103 b,WASP-103,Transit,SuperWASP,17.127,0.818,-0.527,0.925542,6568.6932,1.22,6110.0,1.436,0.06,375.647
WASP-96 b,WASP-96,Transit,SuperWASP,13.45,0.67,-0.67,3.4252602,517.0,1.06,5540.0,1.05,0.14,352.464
WASP-94 A b,WASP-94 A,Transit,SuperWASP,17.71022,1.45717,-1.45717,3.95019,1009.38,1.67,6170.0,1.48,0.26,211.211
WASP-69 b,WASP-69,Transit,SuperWASP,11.21,0.22,-0.22,3.86813881,180.5564,0.83,4792.0,0.801,0.35,49.9605
WASP-84 b,WASP-84,Transit,SuperWASP,10.72,0.27,-0.27,8.52349648,34.6952,0.853,5280.0,0.768,0.0,100.588
WASP-20 b,WASP-20,Transit,SuperWASP,15.46839337,0.44835923,-0.44835923,4.89964477,259.864,1.2,5940.0,1.242,-0.008,211.877
HATS-6 b,HATS-6,Transit,HATSouth,11.186582,0.212971,-0.212971,3.3252725,47.3315,0.574,3724.0,0.57,0.2,169.318
KELT-7 b,KELT-7,Transit,KELT,17.9344,0.67254,-0.67254,2.73477,1775.39,1.76,6768.0,1.81,0.0,136.681
K2-18 b,K2-18,Transit,K2,2.37,0.22,-0.22,32.939623,1.005,0.359,3457.0,0.411,0.12,38.0266
K2-22 b,K2-22,Transit,K2,2.3,0.1,-0.1,0.381073,114.0,0.595292,3879.0,0.58,0.032,243.836
WASP-47 d,WASP-47,Transit,K2,3.65,0.03,-0.03,9.030501,145.0,1.058,5565.0,1.156,0.43,264.78
WASP-47 e,WASP-47,Transit,K2,1.83,0.02,-0.02,0.78961,3740.0,1.058,5565.0,1.156,0.43,264.78
GJ 1132 b,GJ 1132,Transit,Cerro Tololo Inter-American Observatory,1.19151465,0.03811053,-0.04483592,1.62892911,19.3,0.1945,3229.0,0.2211,-0.17,12.613
WASP-76 b,WASP-76,Transit,SuperWASP,20.78145022,0.86309151,-0.85188253,1.80988198,4104.0,1.458,6329.0,1.756,0.366,194.459
KELT-4 A b,KELT-4 A,Transit,KELT,19.044091,0.515614,-0.504405,2.9895932,1840.0,1.201,6206.0,1.603,-0.116,218.05
TRAPPIST-1 b,TRAPPIST-1,Transit,La Silla Observatory,1.116,0.014,-0.012,1.510826,4.153,0.0898,2566.0,0.1192,0.052,12.42988881
TRAPPIST-1 c,TRAPPIST-1,Transit,La Silla Observatory,1.097,0.014,-0.012,2.421937,2.214,0.0898,2566.0,0.1192,0.052,12.42988881
TRAPPIST-1 d,TRAPPIST-1,Transit,La Silla Observatory,0.788,0.011,-0.01,4.049219,1.115,0.0898,2566.0,0.1192,0.052,12.42988881
K2-34 b,K2-34,Transit,K2,13.75,0.58,-0.59,2.9956348,963.566,1.16,6168.0,1.42,0.01,348.646
WASP-121 b,WASP-121,Transit,SuperWASP,19.52604438,0.06725388,-0.06725388,1.27492504,6216.41,1.33,6628.0,1.461,0.17,269.898
HIP 41378 b,HIP 41378,Transit,K2,2.419,0.027,-0.027,15.571893,148.5,1.245,6371.0,1.306,0.046,106.289
HIP 41378 c,HIP 41378,Transit,K2,2.505,0.057,-0.056,31.70838,57.55,1.245,6371.0,1.306,0.046,106.289
HIP 41378 d,HIP 41378,Transit,K2,3.54,0.06,-0.06,278.3618,3.01,1.16,6320.0,1.273,-0.1,106.289
HIP 41378 e,HIP 41378,Transit,K2,4.92,0.09,-0.09,369.0,2.1,1.16,6320.0,1.273,-0.1,106.289
HIP 41378 f,HIP 41378,Transit,K2,9.2,0.1,-0.1,542.0797,1.24,1.14,6226.0,1.299,0.046,106.289
HD 3167 b,HD 3167,Transit,K2,1.67,0.17,-0.1,0.959641,1650.0,0.837,5261.0,0.88,0.04,47.2899
HD 3167 c,HD 3167,Transit,K2,3.0,0.45,-0.21,29.8454,16.9,0.837,5261.0,0.88,0.04,47.2899
HAT-P-65 b,HAT-P-65,Transit,HATNet,18.05766791,0.26901554,-0.26901554,2.60544751,1821.0,1.297,5872.0,1.666,0.208,738.519
WASP-131 b,WASP-131,Transit,SuperWASP-South,13.74221034,0.41473229,-0.41473229,5.3220125,995.3724,1.06,5990.0,1.561,-0.2,200.075
WASP-139 b,WASP-139,Transit,SuperWASP-South,8.9672,0.56045,-0.56045,5.924262,120.7076,0.92,5310.0,0.8,0.2,212.472
WASP-127 b,WASP-127,Transit,SuperWASP,14.694999,0.280225,-0.325061,4.17806203,703.971,0.95,5620.0,1.333,-0.193,159.507
TRAPPIST-1 e,TRAPPIST-1,Transit,Multiple Observatories,0.92,0.013,-0.012,6.101013,0.646,0.0898,2566.0,0.1192,0.052,12.42988881
TRAPPIST-1 f,TRAPPIST-1,Transit,Multiple Observatories,1.045,0.013,-0.012,9.20754,0.373,0.0898,2566.0,0.1192,0.052,12.42988881
TRAPPIST-1 g,TRAPPIST-1,Transit,Multiple Observatories,1.129,0.015,-0.013,12.352446,0.252,0.0898,2566.0,0.1192,0.052,12.42988881
TRAPPIST-1 h,TRAPPIST-1,Transit,Multiple Observatories,0.755,0.014,-0.014,18.772866,0.144,0.0898,2566.0,0.1192,0.052,12.42988881
HD 106315 b,HD 106315,Transit,K2,2.44,0.17,-0.17,9.55237,277.0,1.091,6327.0,1.296,-0.311,109.353
HD 106315 c,HD 106315,Transit,K2,4.35,0.23,-0.23,21.05704,97.0,1.091,6327.0,1.296,-0.311,109.353
LHS 1140 b,LHS 1140,Transit,MEarth Project,1.73,0.025,-0.025,24.73723,0.43,0.1844,3096.0,0.2159,-0.15,14.9861
KELT-11 b,KELT-11,Transit,KELT-South,15.13212395,1.12089807,-1.12089807,4.73620865,1433.0,1.44,5375.0,2.69,0.17,99.1596
KELT-9 b,KELT-9,Transit,KELT-North,21.196219,0.683749,-0.594077,1.4811235,44900.0,2.52,10170.0,2.362,-0.03,204.455
WASP-107 b,WASP-107,Transit,SuperWASP-South,10.53646,0.22418,-0.22418,5.7214876,51.0,0.683,4425.0,0.657,0.02,64.7414
GJ 9827 b,GJ 9827,Transit,K2,1.44,0.09,-0.07,1.208974,318.0,0.62,4236.0,0.58,-0.29,29.661
GJ 9827 c,GJ 9827,Transit,K2,1.13,0.07,-0.05,3.648103,73.0,0.62,4236.0,0.58,-0.29,29.661
GJ 9827 d,GJ 9827,Transit,K2,1.98,0.11,-0.1,6.20183,34.9,0.62,4236.0,0.58,-0.29,29.661
KELT-20 b,KELT-20,Transit,KELT-North,19.514869,0.773421,-0.829466,3.4741085,4362.5,1.76,8720.0,1.565,-0.29,136.426
K2-141 b,K2-141,Transit,K2,1.51,0.05,-0.05,0.2803244,3260.0,0.708,4570.0,0.681,0.0,61.8736
K2-141 c,K2-141,Transit,K2,7.0,4.6,-2.8,7.7485,39.1,0.708,4570.0,0.681,0.0,61.8736
K2-232 b,K2-232,Transit,K2,11.209,0.246598,-0.22418,11.168454,312.155,1.188,6154.0,1.161,0.1,130.72
NGTS-2 b,NGTS-2,Transit,Next-Generation Transit Survey (NGTS),17.878355,0.526823,-0.504405,4.511164,1085.35,1.64,6478.0,1.702,-0.06,356.391
WASP-164 b,WASP-164,Transit,SuperWASP-South,12.643752,0.459569,-0.481987,1.7771255,1043.2122,0.946,5806.0,0.932,-0.01,327.506
LHS 1140 c,LHS 1140,Transit,Multiple Observatories,1.272,0.026,-0.026,3.77794,5.3,0.1844,3096.0,0.2159,-0.15,14.9861
K2-287 b,K2-287,Transit,K2,9.494023,0.145717,-0.145717,14.893291,53.5814,1.056,5695.0,1.07,0.2,158.335
LHS 3844 b,LHS 3844,Transit,Transiting Exoplanet Survey Satellite (TESS),1.286,0.043,-0.044,0.462929709,73.67,0.151,3080.0,0.189,0.22,14.8846
HD 15337 b,HD 15337,Transit,Transiting Exoplanet Survey Satellite (TESS),1.77,0.032,-0.03,4.7559804,404.5595,0.829,5131.0,0.855,0.03,44.8155
HD 15337 c,HD 15337,Transit,Transiting Exoplanet Survey Satellite (TESS),2.526,0.086,-0.075,17.180546,45.0685,0.829,5131.0,0.855,0.03,44.8155
L 98-59 b,L 98-59,Transit,Transiting Exoplanet Survey Satellite (TESS),0.837,0.019,-0.019,2.253114,24.5,0.2923,3415.0,0.3155,-0.46,10.6194
L 98-59 c,L 98-59,Transit,Transiting Exoplanet Survey Satellite (TESS),1.329,0.029,-0.029,3.6906764,12.7,0.2923,3415.0,0.3155,-0.46,10.6194
L 98-59 d,L 98-59,Transit,Transiting Exoplanet Survey Satellite (TESS),1.627,0.041,-0.041,7.450729,4.97,0.2923,3415.0,0.3155,-0.46,10.6194
V1298 Tau b,V1298 Tau,Transit,K2,9.41,0.57,-0.57,24.140006,33.2,1.1,4970.0,1.32,0.1,108.199
WASP-166 b,WASP-166,Transit,WASP-South,7.06167,0.33627,-0.33627,5.44354,440.0,1.19,6050.0,1.22,0.19,114.173
TOI-270 b,TOI-270,Transit,Transiting Exoplanet Survey Satellite (TESS),1.28,0.05,-0.04,3.35992,131.7935,0.386,3506.0,0.38,-0.17,22.4793
TOI-270 c,TOI-270,Transit,Transiting Exoplanet Survey Satellite (TESS),2.33,0.01,-0.01,5.66051,47.0639,0.386,3506.0,0.38,-0.17,22.4793
TOI-270 d,TOI-270,Transit,Transiting Exoplanet Survey Satellite (TESS),2.0,0.05,-0.05,11.38194,9.2135,0.386,3506.0,0.38,-0.17,22.4793
GJ 357 b,GJ 357,Transit,Transiting Exoplanet Survey Satellite (TESS),1.2,0.06,-0.06,3.9306,12.6,0.342,3505.0,0.337,-0.12,9.44181
